# N    phi    eps1    V    H    z    zN    phiN    eps2
0.0	5.62	0.00014064050509211937	1.469657151892301e-10	6.9993477146019585e-06	-1.0544830009340498e-07	-1.0544830009340498e-07	-0.01677143435083114	0.0
0.005	5.619916142801938	0.00014064064969441706	1.4696550848883753e-10	6.999342792641613e-06	-1.0597691637829359e-07	-1.0599874467570826e-07	-0.016771442972768745	0.00020563371686134683
0.01	5.619832285519585	0.00014064108191575768	1.4696530177422953e-10	6.999337870674837e-06	-1.0650829154422077e-07	-1.0655184182722515e-07	-0.01677146874401629	0.0006146445046160573
0.015	5.619748428070937	0.00014064179765175747	1.469650950452028e-10	6.999332948691997e-06	-1.0704243895088203e-07	-1.0710760637254552e-07	-0.016771511419771176	0.001017814066290638
0.02	5.619664570363855	0.00014064279229239452	1.469648883015293e-10	6.999328026682282e-06	-1.0757937181595995e-07	-1.0766605363441708e-07	-0.01677157072503315	0.0014144210603891177
0.025	5.619580712363243	0.00014064406409097137	1.4696468154312135e-10	6.999323104641568e-06	-1.0811910450530111e-07	-1.0822719683674076e-07	-0.01677164655547996	0.001808535020759276
0.03	5.619496853982603	0.0001406456087243789	1.4696447476976457e-10	6.999318182559704e-06	-1.0866165045915975e-07	-1.0879105128165868e-07	-0.016771738653125912	0.0021964900597244994
0.035	5.619412995136897	0.00014064742194157558	1.469642679812482e-10	6.99931326042671e-06	-1.0920702319580702e-07	-1.09357632329621e-07	-0.016771846764240102	0.002578386680165509
0.04	5.61932913574109	0.00014064949949218778	1.4696406117736124e-10	6.999308338232602e-06	-1.0975523628443652e-07	-1.0992695545505499e-07	-0.01677197063509162	0.002954223967670902
0.045	5.619245275710146	0.0001406518371264692	1.4696385435789284e-10	6.9993034159674e-06	-1.103063033452237e-07	-1.1049903624734425e-07	-0.016772110011949552	0.0033240010641734526
0.05	5.619161414959029	0.0001406544305952615	1.4696364752263194e-10	6.999298493621119e-06	-1.1086023804938417e-07	-1.1107389041181942e-07	-0.016772264641082998	0.0036877171679737296
0.055	5.619077553402702	0.0001406572756499548	1.4696344067136752e-10	6.999293571183776e-06	-1.1141705411923011e-07	-1.1165153377075727e-07	-0.016772434268761037	0.004045371531835583
0.06	5.618993690956131	0.00014066036804244995	1.4696323380388847e-10	6.999288648645388e-06	-1.1197676532822583e-07	-1.1223198226438634e-07	-0.01677261864125277	0.004396963463393146
0.065	5.618909827534279	0.0001406637035251202	1.4696302691998359e-10	6.999283725995966e-06	-1.125393855010411e-07	-1.1281525195190409e-07	-0.01677281750482728	0.004742492322705014
0.07	5.61882596305211	0.0001406672778507745	1.4696282001944167e-10	6.999278803225527e-06	-1.1310492851360352e-07	-1.1340135901249979e-07	-0.01677303060575366	0.005081957522621002
0.075	5.618742097424588	0.0001406710867726209	1.469626131020514e-10	6.999273880324082e-06	-1.1367340829314892e-07	-1.1399031974638928e-07	-0.016773257690301004	0.005415358527144005
0.08	5.618658230567523	0.0001406751260868921	1.469624061676036e-10	6.999268957281746e-06	-1.1424483883559364e-07	-1.1458215054097333e-07	-0.016773498507281784	0.005742755501390048
0.085	5.618574362460186	0.00014067939479035376	1.469621992160455e-10	6.999264034096087e-06	-1.1481923549457106e-07	-1.1517686527627701e-07	-0.01677375299629476	0.0060686975061346096
0.09	5.6184904930691415	0.0001406838912394979	1.4696199224729308e-10	6.999259110763189e-06	-1.1539661343890249e-07	-1.1577447843225791e-07	-0.016774021058738296	0.0063922729241128245
0.095	5.618406622325493	0.00014068861200297714	1.4696178526117462e-10	6.999254187274956e-06	-1.1597698717341343e-07	-1.1637500605489016e-07	-0.016774302489401885	0.006710939019196692
0.1	5.618322750160344	0.00014069355364975444	1.4696157825751848e-10	6.999249263623298e-06	-1.1656037126155741e-07	-1.1697846430219667e-07	-0.016774597083075018	0.007024695373891116
0.105	5.6182388765047975	0.00014069871274907645	1.4696137123615303e-10	6.999244339800124e-06	-1.1714678032554407e-07	-1.1758486944516065e-07	-0.016774904634547193	0.0073335416098832314
0.11	5.618155001289956	0.00014070408587044624	1.469611641969064e-10	6.999239415797338e-06	-1.1773622904646661e-07	-1.1819423786864755e-07	-0.0167752249386079	0.007637477386033467
0.115	5.618071124446925	0.00014070966958359718	1.4696095713960684e-10	6.999234491606846e-06	-1.1832873216442795e-07	-1.1880658607232998e-07	-0.016775557790046636	0.007936502398832309
0.12	5.617987245906806	0.00014071546045846698	1.469607500640825e-10	6.999229567220553e-06	-1.1892430447866652e-07	-1.194219306716254e-07	-0.01677590298365289	0.00823061638135358
0.125	5.617903365600704	0.000140721455065172	1.4696054297016146e-10	6.999224642630364e-06	-1.1952296084768079e-07	-1.2004028839863847e-07	-0.016776260314216158	0.008519819102554286
0.13	5.617819483459719	0.0001407276499739824	1.4696033585767178e-10	6.999219717828179e-06	-1.20124716189353e-07	-1.2066167610311304e-07	-0.016776629576525936	0.008804110367152137
0.135	5.617735599414958	0.000140734041755297	1.4696012872644152e-10	6.999214792805903e-06	-1.2072958548107207e-07	-1.2128611075338995e-07	-0.01677701056537171	0.009083490014038454
0.14	5.617651713397522	0.00014074062697961955	1.4695992157629854e-10	6.999209867555435e-06	-1.2133758375985536e-07	-1.2191360943737632e-07	-0.01677740307554298	0.009357957917156403
0.145	5.617567825370343	0.000140747403826967	1.4695971440714942e-10	6.999204942072424e-06	-1.2194872681970543e-07	-1.2254418795952462e-07	-0.016777806997755516	0.009629800853422472
