# k    Ps    Pt    r    ns
100000000000000.0	inf	3.0775492212912653e-12	0.0	nan
114975699539773.56	inf	3.077638281269931e-12	0.0	nan
132194114846602.88	inf	3.078309643958804e-12	0.0	nan
151991108295293.3	inf	3.0777235498443907e-12	0.0	-inf
174752840000768.28	195813271222614.78	3.077778405896793e-12	1.5717925484211692e-26	-inf
200923300256504.6	187921980120496.3	3.078064945294528e-12	1.6379483354320026e-26	0.5923481369180673
231012970008315.8	174755066506366.53	3.0781312580820015e-12	1.7613974344886085e-26	inf
265608778294668.4	inf	3.0772528053010334e-12	0.0	0.005967603838420654
305385550883341.25	132416163347515.4	3.0778457854495035e-12	2.3243731789539535e-26	nan
351119173421512.75	inf	3.0773034814339944e-12	0.0	-1.0995736252447417
403701725859655.0	73696561909646.2	3.077878677414071e-12	4.1764209858088443e-26	-inf
464158883361277.25	43085189814754.586	3.07763128086555e-12	7.143130375188948e-26	inf
533669923120630.2	inf	3.077815617992192e-12	0.0	-11.005851793841197
613590727341316.4	1510334864380.701	3.0777201385071982e-12	2.037773351520419e-24	nan
705480231071863.1	inf	3.0777334057038603e-12	0.0	inf
811130830789688.9	inf	3.0775727626971454e-12	0.0	nan
932603346883218.0	inf	3.0870677336644225e-12	0.0	-inf
1072267222010325.4	349519392491876.44	3.0780961876189163e-12	8.806653518346504e-27	nan
1232846739442063.5	inf	3.083131118302999e-12	0.0	inf
1417474162926807.8	inf	3.07825044089414e-12	0.0	-inf
1629750834620646.8	34888843331000.484	3.0778548334589354e-12	8.821888430804202e-26	-inf
1873817422860386.8	69326308.8797453	3.0776375276072414e-12	4.439350049554446e-20	2.068367350141585
2154434690031886.8	47009501329669.49	3.0776902219417038e-12	6.546953562341356e-26	54.55396279851334
2477076355991714.0	214925283327432.0	3.0778008421689516e-12	1.432032934664098e-26	9.80922647882513
2848035868435805.0	549503764513214.4	3.0780018965391513e-12	5.601420946161929e-27	3.7274056442431225
3274549162877731.5	460131675827263.7	3.078248765467868e-12	6.689930137788345e-27	-3.1346635747137386
3764935806792471.5	173300306026263.53	3.077543414306656e-12	1.7758441891269694e-26	-11.957867230196724
4328761281083061.5	12366065943950.975	3.07825911181802e-12	2.489279230573561e-25	-3.0317968597906413
4977023564332114.0	56246652407344.23	3.0778577986496877e-12	5.472072855748845e-26	13.398813896085814
5722367659350220.0	393657101981037.0	3.076506184225352e-12	7.815192889301795e-27	11.70517761355143
6579332246575682.0	1116076506875096.5	3.0771168547078875e-12	2.7570841566439824e-27	7.332862825988992
7564633275546291.0	2305355084271515.5	3.0755710195624295e-12	1.3340986126370635e-27	5.585968764978624
8697490026177834.0	4013922364095790.5	3.0759900380064293e-12	7.663302273907713e-28	4.569029763357255
1e+16	6242341094613586.0	3.0768728066364547e-12	4.929036654679825e-28	3.8558100103590647
1.1497569953977404e+16	8906924220685081.0	3.0767322065492167e-12	3.454315014159364e-28	3.2846639938561224
1.3219411484660288e+16	1.181072247473024e+16	3.0781329025261922e-12	2.6062189752676394e-28	-1.9534051597918687
1.519911082952927e+16	3906063085718262.5	3.0777583231141876e-12	7.879438338739061e-28	-1.2622206886730987
1.747528400007683e+16	6281565553515197.0	3.073790233304874e-12	4.893350562241231e-28	3.881366034337599
2.009233002565054e+16	8729628098375179.0	3.074116150008607e-12	3.521474357631322e-28	2.90501964428167
2.310129700083158e+16	1.0690040938964376e+16	3.0642658005443364e-12	2.8664677881403834e-28	1.9981082019296417
2.6560877829466948e+16	1.1533963017130426e+16	3.067145790389752e-12	2.6592297771671177e-28	1.0330523093478003
3.0538555088334124e+16	1.0789112185532126e+16	3.073185166319882e-12	2.8484133944226946e-28	-0.11763913690688899
3.5111917342151416e+16	8443201305944616.0	3.0779515719928858e-12	3.645479315796709e-28	-1.642644615650044
4.0370172585965496e+16	5160183544155859.0	3.05253708507049e-12	5.915559124883506e-28	-3.9506397303952383
4.641588833612791e+16	2120457639361125.0	3.0699812526487367e-12	1.4477918330750972e-27	-8.454083648933704
5.3366992312063016e+16	368736064567550.1	3.0592688196995933e-12	8.296635761103196e-27	-21.021227389301167
6.135907273413188e+16	4541401691481.355	3.0470205537409566e-12	6.709427530835864e-25	-2.5245553560551817
7.054802310718631e+16	137878574672303.55	3.089596945784781e-12	2.2408100411016257e-26	20.958714234097446
8.11130830789689e+16	1192416580803707.2	3.050844056861116e-12	2.5585387740958784e-27	7.287527137114594
9.326033468832181e+16	797299123546790.9	3.2562605043792505e-12	4.084113989607504e-27	-4.050472961314316
1.0722672220103253e+17	291238956013513.7	3.0278092825612986e-12	1.03963059200803e-26	-4.3480138935881
1.2328467394420634e+17	179216164437486.1	3.051802134648272e-12	1.7028609803290355e-26	2.9364721926347754
1.4174741629268077e+17	500003872266576.1	3.230264294450245e-12	6.4604785555101374e-27	8.046784537865028
1.62975083462064e+17	1280952070253504.8	2.9422410629323824e-12	2.2969173720528846e-27	5.799554538194024
1.873817422860387e+17	1908699475569293.5	3.04795096954839e-12	1.5968731634084515e-27	3.1495328074080646
2.1544346900318778e+17	2333900360722259.0	2.804739947015067e-12	1.201739369090761e-27	2.6946011016148295
2.477076355991714e+17	3062977089057521.5	2.9827907817783147e-12	9.738207942966102e-28	2.9044343584013537
2.8480358684357933e+17	3971209871924943.0	2.998002172822555e-12	7.54934206327743e-28	2.740036662307836
3.274549162877732e+17	4978027404829373.0	3.6123453077127518e-12	7.256579793450471e-28	6.604976716894965
3.764935806792456e+17	1.8980775680975324e+16	2.0598431335709446e-12	1.0852260035060378e-28	6.626243297897928
