# k    Ps    Pt    r
1e-06	5.532842465722791e-13	1.1834956668637258e-12	2.1390373468895034
1.1497569953977357e-06	4.852785516874502e-13	1.136720167513234e-12	2.342407599842478
1.3219411484660288e-06	4.131168323286076e-13	1.0906420259974092e-12	2.6400328929949635
1.519911082952933e-06	3.3699361358187694e-13	1.0454398755125696e-12	3.1022542664849837
1.747528400007683e-06	2.5692764670121907e-13	1.0010720816013457e-12	3.8963190394433944
2.0092330025650458e-06	1.765064636381955e-13	9.574446176697458e-13	5.424416749022428
2.310129700083158e-06	9.962465086242998e-14	9.146025169700327e-13	9.180484037359308
2.656087782946684e-06	3.577949908379058e-14	8.725438967480736e-13	24.38669962105109
3.0538555088334123e-06	1.4112814615673527e-15	8.313385765561255e-13	589.0664613654392
3.5111917342151275e-06	2.496020538725988e-14	7.907816956501809e-13	31.68169826253952
4.037017258596558e-06	1.5882883278149037e-13	7.511784196600078e-13	4.729483976586578
4.641588833612782e-06	4.812868507629293e-13	7.122120489990082e-13	1.4798078274318516
5.336699231206313e-06	1.1252984624578126e-12	6.74196060081547e-13	0.5991264385174814
6.1359072734131755e-06	2.327150670435529e-12	6.369426611639349e-13	0.273700654304747
7.0548023107186455e-06	4.417884061264362e-12	6.004462269282149e-13	0.13591262663338705
8.111308307896873e-06	7.98145675127174e-12	5.647423244013114e-13	0.0707567981636093
9.3260334688322e-06	1.3943119683627127e-11	5.298492514273351e-13	0.038000767650981065
1.072267222010323e-05	2.3669416111147166e-11	4.95724353964652e-13	0.020943666359863833
1.2328467394420658e-05	3.943077132485956e-11	4.623610524536164e-13	0.0117258941917303
1.4174741629268048e-05	6.384577850886181e-11	4.2979172572596384e-13	0.006731717206115807
1.6297508346206434e-05	1.0532779138609288e-10	3.9795480680702807e-13	0.0037782507500634123
1.873817422860383e-05	1.6850911903588336e-10	3.668736616407061e-13	0.002177173934204604
2.1544346900318867e-05	2.6845055694812013e-10	3.36556876497956e-13	0.001253701539397431
2.477076355991714e-05	4.2162760899554054e-10	3.0695244122294916e-13	0.0007280178875245233
2.8480358684358048e-05	6.597313636569553e-10	2.7808804387707003e-13	0.00042151708891873945
3.274549162877732e-05	1.0216814238966194e-09	2.5005331595194907e-13	0.0002447468556277198
3.7649358067924715e-05	1.5512896186463873e-09	2.2286161791205581e-13	0.0001436621603298801
4.328761281083062e-05	2.3691026747334415e-09	1.965278811436511e-13	8.295456471331001e-05
4.977023564332114e-05	3.5673091579465594e-09	1.7112584831057316e-13	4.7970568496810035e-05
5.72236765935022e-05	5.280865488773991e-09	1.4678243312309705e-13	2.779514710895887e-05
6.579332246575683e-05	7.704970124576614e-09	1.2361772456308678e-13	1.6043894079327083e-05
7.56463327554629e-05	1.1099915660033928e-08	1.0181571395031393e-13	9.172656538004968e-06
8.697490026177834e-05	1.5685964203497297e-08	8.15906891816334e-14	5.201509331727416e-06
0.0001	2.162747257084395e-08	6.317266392209911e-14	2.920945279905815e-06
0.00011497569953977356	2.9105814212990752e-08	4.684425663162227e-14	1.6094466998526482e-06
0.00013219411484660288	3.813154665916019e-08	3.2887344112585204e-14	8.624707622418146e-07
0.0001519911082952933	4.808642300843519e-08	2.1506173539865382e-14	4.4724003563527333e-07
0.00017475284000076848	5.808531863420826e-08	1.2826225351890267e-14	2.2081699220182125e-07
0.00020092330025650479	6.674671102882902e-08	6.779222357895061e-15	1.0156638811711639e-07
0.00023101297000831605	7.234099792176705e-08	3.1159815644986733e-15	4.3073521986363e-08
0.00026560877829466864	7.313218458547604e-08	1.3687176031615406e-15	1.8715666856113117e-08
0.0003053855508833416	6.879125110773164e-08	8.970724146096276e-16	1.3040501519659136e-08
0.0003511191734215131	6.041358977183898e-08	1.0593001521286862e-15	1.7534136874324018e-08
0.0004037017258596554	5.0572562407734706e-08	1.3410838840435099e-15	2.6518013329662742e-08
0.0004641588833612782	4.3247878190822e-08	1.4922242709851639e-15	3.450398801996814e-08
0.0005336699231206312	4.035022159500509e-08	1.4986204885172042e-15	3.7140328585028556e-08
0.0006135907273413176	4.1360997864027966e-08	1.4580937402059526e-15	3.5252866601510834e-08
0.0007054802310718645	4.368325811762322e-08	1.436441075820552e-15	3.2883102994578275e-08
0.0008111308307896872	4.549509270703551e-08	1.4349370030573771e-15	3.154047871267386e-08
0.0009326033468832199	4.61539921922905e-08	1.4354734015849821e-15	3.1101825289660674e-08
0.0010722672220103231	4.6444766123327165e-08	1.4344058312902407e-15	3.0884122173882616e-08
0.0012328467394420659	4.6365112709420455e-08	1.4338251093447877e-15	3.092465488719632e-08
0.0014174741629268048	4.5948039600711794e-08	1.4323778462020197e-15	3.117386201129309e-08
0.001629750834620645	4.535531819761769e-08	1.4323756114265978e-15	3.158120521138432e-08
0.001873817422860385	4.476217591745527e-08	1.4319533640749088e-15	3.1990253706958654e-08
0.0021544346900318843	4.4008904661778096e-08	1.432570620371103e-15	3.255183539287894e-08
0.0024770763559917113	4.329196319788464e-08	1.4305394243971875e-15	3.304399520664583e-08
0.002848035868435802	4.247988705976608e-08	1.433031679806976e-15	3.373435710388791e-08
0.0032745491628777285	4.1609886606551595e-08	1.4303546721610975e-15	3.437535616681743e-08
0.0037649358067924675	4.087660057564182e-08	1.4308301383943989e-15	3.5003648009982125e-08
0.004328761281083062	4.01135043613751e-08	1.4308027776268023e-15	3.566885517497963e-08
0.004977023564332114	3.933733927810314e-08	1.4291755918637548e-15	3.633127247778285e-08
0.00572236765935022	3.8626505871416786e-08	1.4302388937222474e-15	3.70273950867663e-08
